Date,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume,eth_Market Cap,btc_Open,btc_High,btc_Low,btc_Close,btc_Volume,btc_Market Cap,xrp_Open,xrp_High,xrp_Low,xrp_Close,xrp_Volume,xrp_Market Cap,xmr_Open,xmr_High,xmr_Low,xmr_Close,xmr_Volume,xmr_Market Cap,ltc_Open,ltc_High,ltc_Low,ltc_Close,ltc_Volume,ltc_Market Cap
2017-08-18,301.7,307.96,292.5,295.59,"936,160,000","28,380,200,000",4324.34,4370.13,4015.4,4160.62,"2,941,710,000","71,406,500,000",40.85,41.16,31.32,38.85,"209,845,000","2,042,450,000",47.37,48.93,46.22,46.69,"14,517,200","708,081,000",43.9,47.86,43.59,47.28,"293,350,000","2,304,770,000"
2017-08-17,302.81,311.03,300.25,301.46,"909,494,000","28,477,500,000",4384.44,4484.7,4243.71,4331.69,"2,553,360,000","72,389,100,000",45.72,46.34,38.91,40.69,"191,410,000","2,286,130,000",48.82,49.46,47.05,47.45,"11,176,000","729,528,000",44.18,44.83,43.78,43.91,"104,020,000","2,318,000,000"
2017-08-16,289.82,303.41,285.38,302.27,"967,643,000","27,249,700,000",4200.34,4381.23,3994.42,4376.63,"2,272,040,000","69,342,700,000",46.98,51.24,44.69,45.54,"170,273,000","2,349,050,000",48.77,49.09,47.03,48.78,"12,423,400","728,672,000",43.37,45.06,42.57,44.15,"120,765,000","2,275,660,000"
2017-08-15,299.95,300.41,279.33,289.82,"1,051,800,000","28,195,800,000",4326.99,4455.97,3906.18,4181.93,"3,258,050,000","71,425,500,000",47.5,47.99,39.52,47.49,"262,801,000","2,375,010,000",49.97,50.16,45.72,48.74,"13,651,100","746,257,000",45.81,45.84,42.29,43.31,"206,081,000","2,403,520,000"
2017-08-14,298.03,306.81,296.41,300.1,"864,391,000","28,008,700,000",4066.1,4325.13,3989.16,4325.13,"2,463,090,000","67,112,300,000",47.63,52.02,44.79,47.43,"343,705,000","2,381,360,000",47.69,49.75,46.63,49.75,"14,023,000","711,941,000",45.83,46.51,45.43,45.8,"114,402,000","2,403,870,000"
2017-08-13,310.37,310.82,289.31,298.06,"1,369,370,000","29,161,100,000",3880.04,4208.39,3857.8,4073.26,"3,159,090,000","64,034,100,000",36.86,52.63,35.32,46.65,"448,654,000","1,843,040,000",49.38,50.15,45.46,47.76,"19,587,800","737,066,000",46.57,48.07,44.33,45.81,"242,565,000","2,441,760,000"
2017-08-12,308.71,317.56,307.9,310.6,"1,111,650,000","28,998,700,000",3650.63,3949.92,3613.7,3884.71,"2,219,590,000","60,242,100,000",33.16,37.37,30.45,36.61,"177,772,000","1,657,810,000",50.85,51.57,46.34,49.37,"17,349,200","758,739,000",47.05,47.62,46.29,46.43,"142,065,000","2,466,360,000"
2017-08-11,294.5,309.21,294.5,308.86,"953,576,000","27,657,000,000",3373.82,3679.72,3372.12,3650.62,"2,021,190,000","55,668,000,000",36.32,39.13,27.58,33.5,"382,070,000","1,815,780,000",49.31,51.56,48.93,50.65,"8,534,390","735,446,000",46.4,47.33,46.4,47.1,"137,644,000","2,431,830,000"
2017-08-10,296.96,306.59,289.93,295.89,"1,076,820,000","27,882,200,000",3341.84,3453.45,3319.47,3381.28,"1,515,110,000","55,134,700,000",21.68,38.44,21.36,36.18,"360,125,000","1,084,180,000",50.94,51.29,49.47,49.47,"9,147,740","759,514,000",48.05,48.51,46.5,46.5,"121,661,000","2,517,300,000"
2017-08-09,297.63,318.72,276.69,296.03,"2,638,580,000","27,938,700,000",3420.4,3422.76,3247.67,3342.47,"1,468,960,000","56,424,900,000",18.34,21.94,17.46,21.75,"116,795,000","917,009,000",51.94,53.34,49.74,50.96,"11,466,600","774,178,000",48.59,50.23,47.16,48.01,"253,103,000","2,544,750,000"
2017-08-08,269.1,298.91,266.8,296.77,"1,502,410,000","25,254,600,000",3370.22,3484.85,3345.83,3419.94,"1,752,760,000","55,590,300,000",18.73,19.34,15.59,18.27,"124,589,000","936,705,000",50.4,52.64,49.93,51.94,"12,471,600","750,929,000",45.9,49.37,45.79,48.63,"205,565,000","2,403,230,000"
2017-08-07,261.24,271.96,256.69,269.18,"935,727,000","24,511,000,000",3212.78,3397.68,3180.89,3378.94,"1,482,280,000","52,987,300,000",15.2,20.24,14.36,18.68,"166,514,000","759,959,000",47.67,50.21,47.24,50.21,"12,794,900","710,052,000",45.17,46.48,45.12,45.8,"106,560,000","2,364,540,000"
2017-08-06,256.42,271.05,252.85,261.57,"1,482,980,000","24,053,500,000",3257.61,3293.29,3155.6,3213.94,"1,105,030,000","53,720,900,000",14.17,16.19,13.42,15.21,"81,450,800","708,471,000",48.57,49.18,47.36,47.83,"8,254,240","723,258,000",46.84,47.3,45.1,45.1,"147,891,000","2,451,490,000"
2017-08-05,222.85,256.51,221.95,256.51,"1,333,000,000","20,900,000,000",2897.63,3290.01,2874.83,3252.91,"1,945,700,000","47,778,200,000",10.39,14.95,10.24,14.02,"82,680,400","519,506,000",45.18,49.49,45.18,48.58,"12,131,400","672,541,000",43.49,46.92,43.48,46.86,"248,320,000","2,275,090,000"
2017-08-04,225.31,227.62,222.06,223.07,"539,783,000","21,125,600,000",2806.93,2899.33,2743.72,2895.89,"1,002,120,000","46,276,200,000",10.84,11.22,9.97,10.43,"56,285,500","541,832,000",43.36,45.32,42.97,45.12,"7,794,340","645,208,000",42.89,43.71,42.82,43.45,"114,810,000","2,243,440,000"
2017-08-03,220.18,228.29,219.89,225.34,"557,217,000","20,640,100,000",2709.56,2813.31,2685.14,2804.73,"804,797,000","44,666,400,000",8.19,10.7,8.06,10.67,"49,848,800","409,434,000",43.8,44.31,43.23,43.36,"8,262,040","651,543,000",42.19,43.17,42.13,42.86,"95,497,600","2,206,190,000"
2017-08-02,227.01,229.51,218.12,219.95,"632,606,000","21,275,200,000",2727.13,2762.53,2668.59,2710.67,"1,094,950,000","44,950,800,000",7.85,8.3,7.71,8.11,"17,559,000","392,732,000",44.08,44.78,42.78,43.63,"8,111,580","655,515,000",43.07,43.21,42.07,42.13,"103,557,000","2,251,650,000"
2017-08-01,204.69,227.74,204.69,226.77,"1,585,330,000","19,179,100,000",2871.3,2921.35,2685.61,2718.26,"1,324,670,000","47,321,800,000",7.36,8.2,6.96,7.86,"18,527,900","368,123,000",39.88,45.04,39.81,44.15,"17,363,300","592,886,000",43.02,43.77,41.09,43.04,"203,656,000","2,248,110,000"
2017-07-31,197.41,203.87,193.41,203.87,"569,414,000","18,492,000,000",2763.24,2889.62,2720.61,2875.34,"860,575,000","45,535,800,000",7.16,7.43,7.02,7.33,"10,856,600","358,222,000",39.67,40.68,38.94,39.84,"13,138,500","589,540,000",40.34,44.03,38.95,43.02,"240,821,000","2,107,540,000"
2017-07-30,206.74,208.54,196.15,197.98,"596,234,000","19,360,900,000",2724.39,2758.53,2644.85,2757.18,"705,943,000","44,890,700,000",7.27,7.3,6.94,7.15,"9,006,030","363,345,000",43.95,43.95,39.55,39.62,"11,709,500","652,927,000",41.18,41.82,40.06,40.42,"75,746,700","2,150,970,000"
2017-07-29,193.34,208.68,179.65,205.79,"824,355,000","18,101,800,000",2807.02,2808.76,2692.8,2726.45,"803,746,000","46,246,700,000",7.09,7.46,6.76,7.26,"10,518,400","354,258,000",43.69,44.37,42.19,43.89,"7,053,810","648,884,000",40.56,41.34,38.74,41.12,"109,945,000","2,117,650,000"
2017-07-28,204.32,204.9,192.3,193.12,"562,571,000","19,125,100,000",2679.73,2897.45,2679.73,2809.01,"1,380,100,000","44,144,400,000",7.75,7.88,6.93,7.09,"15,725,800","387,410,000",45.29,45.79,42.74,43.96,"18,694,500","672,368,000",42.22,42.47,35.94,40.61,"137,556,000","2,203,520,000"
2017-07-27,204.86,206.44,201.26,204.32,"393,283,000","19,169,800,000",2538.71,2693.32,2529.34,2671.78,"789,104,000","41,816,500,000",7.22,7.94,7.13,7.72,"15,251,100","360,772,000",45.92,46.74,43.93,45.24,"15,960,700","681,502,000",42.35,42.62,41.39,42.14,"81,714,000","2,210,020,000"
2017-07-26,207.09,210.77,194.78,203.95,"717,692,000","19,373,400,000",2577.77,2610.76,2450.8,2529.45,"937,404,000","42,455,000,000",7.33,7.59,6.58,7.17,"16,765,600","366,562,000",40.73,46.44,38.6,45.8,"26,033,100","604,269,000",42.29,42.7,40.63,42.23,"121,389,000","2,206,000,000"
2017-07-25,224.37,225.32,195.84,206.71,"1,095,760,000","20,985,200,000",2757.5,2768.08,2480.96,2576.48,"1,460,090,000","45,410,100,000",8.48,8.48,6.88,7.35,"19,480,400","423,876,000",45.55,45.84,38.24,40.68,"12,706,300","675,620,000",44.48,44.79,41.07,42.24,"206,307,000","2,319,870,000"
2017-07-24,226.28,227.54,222.45,224.71,"431,691,000","21,158,500,000",2732.7,2777.26,2699.19,2754.86,"866,474,000","44,995,600,000",8.61,8.81,8.19,8.46,"21,283,700","430,471,000",42.66,45.76,41.86,45.58,"12,102,100","632,493,000",44.16,44.81,43.29,44.41,"158,532,000","2,302,370,000"
2017-07-23,229.12,231.68,217.72,225.95,"649,615,000","21,418,300,000",2808.1,2832.18,2653.94,2730.4,"1,072,840,000","46,231,100,000",8.64,8.93,7.76,8.57,"29,915,100","431,881,000",44.64,44.78,41.44,42.67,"8,634,060","661,581,000",46.63,46.64,42.94,44.06,"219,257,000","2,430,320,000"
2017-07-22,217.86,232.7,216.87,229.48,"618,260,000","20,360,100,000",2668.63,2862.42,2657.71,2810.12,"1,177,130,000","43,929,600,000",7.39,9.12,7.31,8.62,"32,890,800","369,727,000",40.25,44.76,40.15,44.71,"9,028,920","596,297,000",45.77,46.8,45.45,46.56,"132,333,000","2,385,020,000"
2017-07-21,226.06,235.12,213.01,218.31,"1,006,130,000","21,121,100,000",2838.41,2838.41,2621.85,2667.76,"1,489,450,000","46,719,000,000",7.24,7.97,7.03,7.42,"21,298,000","361,826,000",40.55,41.43,39.53,40.34,"9,572,580","600,573,000",45.07,47.45,44.52,45.76,"286,020,000","2,347,580,000"
2017-07-20,205.42,233.9,203.22,227.26,"2,225,000,000","19,187,800,000",2269.89,2900.7,2269.89,2817.6,"2,249,260,000","37,356,800,000",5.89,7.47,5.89,7.21,"25,476,100","294,317,000",34.89,41.01,34.89,40.3,"14,905,700","516,643,000",40.96,45.45,40.96,45.02,"354,802,000","2,132,670,000"
